-------------------------last log tuples start--------------------------------
Time [clock=2, time=null]
Time [clock=3, time=null]
setPhases in ClientGameStatus, the current phase is Communication Phase
setPhases in ClientGameStatus, the current phase is Communication Phase
(((((((((((((((((Game ended)))))))))))
(((((((((((((((((Game ended)))))))))))
(((((((((((((((((Game ended)))))))))))
Game ended 
Game ended 
My PlayerStatus is: Game Player...
PerGameId: 0.
PIN: 10.
Pos: (R:3,C:3).
Chips: { chips  'orange':2 'red':3 'purple':1 'green':2 }.
Score: 140.
Team: -1.

Game ended 
My PlayerStatus is: Game Player...
PerGameId: 3.
PIN: 40.
Pos: (R:2,C:2).
Chips: { chips  'orange':1 'red':1 'purple':3 'green':2 }.
Score: 15.
Team: -1.

My PlayerStatus is: Game Player...
PerGameId: 2.
PIN: 30.
Pos: (R:0,C:0).
Chips: { chips  'orange':4 'red':4 'purple':4 'green':4 }.
Score: 20.
Team: -1.

CT Client thread still alive
Game is ended, so we are safe to start a new one
CT Client thread still alive
Game is ended, so we are safe to start a new one
CT Client thread still alive
Game is ended, so we are safe to start a new one
trying to start new game
trying to start new game
trying to start new game
#########################Game started
#########################Game started
#########################Game started
#########################Game started
#########################Game started
#########################Game started
#########################Game started
#########################Game started
#########################Game started
#########################Game started
setPhases in ClientGameStatus, the current phase is 
#########################Game started
#########################Game started
#########################Game started
setPhases in ClientGameStatus, the current phase is 
setPhases in ClientGameStatus, the current phase is 
#########################Game started
setPhases in ClientGameStatus, the current phase is 
setPhases in ClientGameStatus, the current phase is 
setPhases in ClientGameStatus, the current phase is 
setPhases in ClientGameStatus, the current phase is 
setPhases in ClientGameStatus, the current phase is 
setPhases in ClientGameStatus, the current phase is Communication Phase
setPhases in ClientGameStatus, the current phase is Communication Phase
setPhases in ClientGameStatus, the current phase is Communication Phase
#########################Game started
#########################Game started
#########################Game started
setPhases in ClientGameStatus, the current phase is Communication Phase
#########################Game started
#########################Game started
#########################Game started
setPhases in ClientGameStatus, the current phase is 
setPhases in ClientGameStatus, the current phase is 
setPhases in ClientGameStatus, the current phase is 
